[{No.,1
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.56
Change,3.51%
Volume,691}
{No.,2336
Ticker,DAN
Company,Dana Inc
Sector,Consumer Cyclical
Industry,Auto Parts
Country,USA
Market Cap,3840.44
P/E,74.40
Price,32.87
Change,0.00%
Volume,0}
{No.,2337
Ticker,DANA
Company,Dana Limited Volatility ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.35
Change,0.00%
Volume,0}
{No.,2338
Ticker,DAO
Company,Youdao Inc ADR
Sector,Consumer Defensive
Industry,Education & Training Services
Country,China
Market Cap,291.22
P/E,75.02
Price,9.31
Change,0.00%
Volume,0}
{No.,2339
Ticker,DAPP
Company,VanEck Digital Transformation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,15.67
Change,0.00%
Volume,0}
{No.,2340
Ticker,DAPR
Company,FT Vest U.S. Equity Deep Buffer ETF - April
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.55
Change,0.00%
Volume,0}
{No.,2341
Ticker,DAR
Company,Darling Ingredients Inc
Sector,Consumer Defensive
Industry,Packaged Foods
Country,USA
Market Cap,8062.74
P/E,132.22
Price,50.97
Change,0.00%
Volume,0}
{No.,2342
Ticker,DARE
Company,Dare Bioscience Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,23.86
P/E,
Price,1.67
Change,0.00%
Volume,0}
{No.,2343
Ticker,DARP
Company,Grizzle Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.24
Change,0.00%
Volume,0}
{No.,2344
Ticker,DASH
Company,DoorDash Inc
Sector,Consumer Cyclical
Industry,Internet Retail
Country,USA
Market Cap,70201.04
P/E,82.63
Price,162.88
Change,0.33%
Volume,2388}
{No.,2345
Ticker,DASX
Company,Tradr 2X Long DASH Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,9.06
Change,0.22%
Volume,343}
{No.,2346
Ticker,DAT
Company,ProShares Big Data Refiners ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.98
Change,0.00%
Volume,0}
{No.,2347
Ticker,DAUG
Company,FT Vest U.S. Equity Deep Buffer ETF - August
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.45
Change,0.00%
Volume,0}
{No.,2348
Ticker,DAVA
Company,Endava plc ADR
Sector,Technology
Industry,Software - Infrastructure
Country,United Kingdom
Market Cap,222.69
P/E,26.17
Price,5.22
Change,2.55%
Volume,145}
{No.,2349
Ticker,DAVE
Company,Dave Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,2384.96
P/E,17.50
Price,176.61
Change,0.00%
Volume,0}
{No.,2350
Ticker,DAWN
Company,Day One Biopharmaceuticals Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,1255.77
P/E,
Price,11.88
Change,0.00%
Volume,102}
{No.,2351
Ticker,DAX
Company,Global X DAX Germany ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.11
Change,0.00%
Volume,0}
{No.,2352
Ticker,DB
Company,Deutsche Bank AG
Sector,Financial
Industry,Banks - Regional
Country,Germany
Market Cap,68318.52
P/E,9.93
Price,36.47
Change,1.47%
Volume,6037}
{No.,2353
Ticker,DBA
Company,Invesco DB Agriculture Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.71
Change,0.00%
Volume,0}
{No.,2354
Ticker,DBAW
Company,Xtrackers MSCI All World ex US Hedged Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.38
Change,0.00%
Volume,0}
{No.,2355
Ticker,DBB
Company,Invesco DB Base Metals Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.16
Change,0.00%
Volume,0}
{No.,2356
Ticker,DBC
Company,Invesco DB Commodity Index Tracking Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.59
Change,0.00%
Volume,0}
{No.,2357
Ticker,DBCAU
Company,D. Boral Acquisition I Corp
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,249.00
P/E,
Price,9.96
Change,0.00%
Volume,0}
{No.,2358
Ticker,DBD
Company,Diebold Nixdorf Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,2904.59
P/E,31.99
Price,82.58
Change,0.00%
Volume,0}
{No.,2359
Ticker,DBE
Company,Invesco DB Energy Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,18.99
Change,0.00%
Volume,0}
{No.,2360
Ticker,DBEF
Company,Xtrackers MSCI EAFE Hedged Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.44
Change,0.00%
Volume,0}
{No.,2361
Ticker,DBEM
Company,Xtrackers MSCI Emerging Markets Hedged Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.44
Change,0.00%
Volume,0}
{No.,2362
Ticker,DBEU
Company,Xtrackers MSCI Europe Hedged Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.72
Change,0.00%
Volume,0}
{No.,2363
Ticker,DBEZ
Company,Xtrackers MSCI Eurozone Hedged Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,58.25
Change,0.00%
Volume,0}
{No.,2364
Ticker,DBGI
Company,Digital Brands Group Inc
Sector,Consumer Cyclical
Industry,Apparel Retail
Country,USA
Market Cap,45.20
P/E,
Price,5.52
Change,0.00%
Volume,112}
{No.,2365
Ticker,DBI
Company,Designer Brands Inc
Sector,Consumer Cyclical
Industry,Footwear & Accessories
Country,USA
Market Cap,363.84
P/E,
Price,7.33
Change,-0.27%
Volume,974}
{No.,2366
Ticker,DBJP
Company,Xtrackers MSCI Japan Hedged Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,105.91
Change,0.00%
Volume,0}
{No.,2367
Ticker,DBL
Company,DoubleLine Opportunistic Credit Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,295.98
P/E,14.02
Price,15.14
Change,0.00%
Volume,0}
{No.,2368
Ticker,DBMF
Company,iMGP DBi Managed Futures Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.18
Change,0.00%
Volume,0}
{No.,2369
Ticker,DBND
Company,DoubleLine Opportunistic Core Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.82
Change,0.00%
Volume,0}
{No.,2370
Ticker,DBO
Company,Invesco DB Oil Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,13.36
Change,0.00%
Volume,0}
{No.,2371
Ticker,DBP
Company,Invesco DB Precious Metals Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,113.17
Change,0.00%
Volume,0}
{No.,2372
Ticker,DBRG
Company,DigitalBridge Group Inc
Sector,Financial
Industry,Asset Management
Country,USA
Market Cap,2904.25
P/E,217.04
Price,15.41
Change,0.00%
Volume,0}
{No.,2373
Ticker,DBSC
Company,Deepwater Beachfront Small Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.31
Change,0.00%
Volume,0}
{No.,2374
Ticker,DBVT
Company,DBV Technologies ADR
Sector,Healthcare
Industry,Biotechnology
Country,France
Market Cap,827.29
P/E,
Price,20.61
Change,-0.43%
Volume,455}
{No.,2375
Ticker,DBX
Company,Dropbox Inc
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,6180.56
P/E,13.99
Price,24.68
Change,0.82%
Volume,6}
{No.,2376
Ticker,DC
Company,Dakota Gold Corp
Sector,Basic Materials
Industry,Gold
Country,USA
Market Cap,718.29
P/E,
Price,5.59
Change,0.00%
Volume,0}
{No.,2377
Ticker,DCBO
Company,Docebo Inc
Sector,Technology
Industry,Software - Application
Country,Canada
Market Cap,540.12
P/E,25.35
Price,18.80
Change,0.00%
Volume,0}
{No.,2378
Ticker,DCGO
Company,DocGo Inc
Sector,Healthcare
Industry,Medical Care Facilities
Country,USA
Market Cap,77.88
P/E,
Price,0.80
Change,0.00%
Volume,0}
{No.,2379
Ticker,DCH
Company,Dauch Corp
Sector,Consumer Cyclical
Industry,Auto Parts
Country,USA
Market Cap,1717.97
P/E,
Price,7.28
Change,0.00%
Volume,0}
{No.,2380
Ticker,DCI
Company,Donaldson Co. Inc
Sector,Industrials
Industry,Specialty Industrial Machinery
Country,USA
Market Cap,12534.79
P/E,33.91
Price,108.68
Change,0.00%
Volume,0}
{No.,2381
Ticker,DCMT
Company,DoubleLine Commodity Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.32
Change,0.00%
Volume,0}
{No.,2382
Ticker,DCO
Company,Ducommun Inc
Sector,Industrials
Industry,Aerospace & Defense
Country,USA
Market Cap,1871.10
P/E,
Price,125.19
Change,0.00%
Volume,0}
{No.,2383
Ticker,DCOM
Company,Dime Community Bancshares Inc
Sector,Financial
Industry,Banks - Regional
Country,USA
Market Cap,1562.64
P/E,15.12
Price,35.60
Change,0.00%
Volume,0}
{No.,2384
Ticker,DCOR
Company,Dimensional US Core Equity 1 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,75.54
Change,0.00%
Volume,0}
{No.,2385
Ticker,DCOY
Company,Decoy Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,4.79
P/E,
Price,0.75
Change,0.00%
Volume,0}
{No.,2386
Ticker,DCRE
Company,DoubleLine Commercial Real Estate Debt ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.25
Change,0.00%
Volume,0}
{No.,2387
Ticker,DCTH
Company,Delcath Systems Inc
Sector,Healthcare
Industry,Medical Devices
Country,USA
Market Cap,331.95
P/E,1093.02
Price,9.40
Change,0.00%
Volume,0}
{No.,2388
Ticker,DCX
Company,Digital Currency X Technology Inc
Sector,Consumer Cyclical
Industry,Auto Manufacturers
Country,Cayman Islands
Market Cap,0.87
P/E,
Price,2.27
Change,-0.44%
Volume,16}
{No.,2389
Ticker,DD
Company,DuPont de Nemours Inc
Sector,Basic Materials
Industry,Specialty Chemicals
Country,USA
Market Cap,21313.27
P/E,
Price,50.87
Change,0.00%
Volume,0}
{No.,2390
Ticker,DDC
Company,DDC Enterprise Ltd
Sector,Consumer Defensive
Industry,Packaged Foods
Country,USA
Market Cap,90.81
P/E,
Price,2.98
Change,5.67%
Volume,93}
{No.,2391
Ticker,DDD
Company,3D Systems Corp
Sector,Technology
Industry,Computer Hardware
Country,USA
Market Cap,263.91
P/E,
Price,2.05
Change,0.00%
Volume,0}
{No.,2392
Ticker,DDEC
Company,FT Vest U.S. Equity Deep Buffer ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.14
Change,0.00%
Volume,0}
{No.,2393
Ticker,DDFD
Company,Innovator Equity Dual Directional 15 Buffer ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.23
Change,0.00%
Volume,0}
{No.,2394
Ticker,DDFF
Company,Innovator Equity Dual Directional 15 Buffer ETF - February
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.24
Change,0.00%
Volume,0}
{No.,2395
Ticker,DDFJ
Company,Innovator Equity Dual Directional 15 Buffer ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.07
Change,0.00%
Volume,0}
{No.,2396
Ticker,DDFL
Company,Innovator Equity Dual Directional 15 Buffer ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,20.64
Change,0.00%
Volume,0}
{No.,2397
Ticker,DDFN
Company,Innovator Equity Dual Directional 15 Buffer ETF - November
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.28
Change,0.00%
Volume,0}
{No.,2398
Ticker,DDFO
Company,Innovator Equity Dual Directional 15 Buffer ETF - October
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.68
Change,0.00%
Volume,0}
{No.,2399
Ticker,DDFS
Company,Innovator Equity Dual Directional 15 Buffer ETF - September
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.23
Change,0.00%
Volume,0}
{No.,2400
Ticker,DDI
Company,DoubleDown Interactive Co Ltd ADR
Sector,Communication Services
Industry,Electronic Gaming & Multimedia
Country,South Korea
Market Cap,427.62
P/E,4.19
Price,8.63
Change,0.00%
Volume,0}
{No.,2401
Ticker,DDIV
Company,First Trust Dorsey Wright Momentum & Dividend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.06
Change,0.00%
Volume,0}
{No.,2402
Ticker,DDL
Company,Dingdong (Cayman) Ltd ADR
Sector,Consumer Defensive
Industry,Grocery Stores
Country,China
Market Cap,510.56
P/E,16.38
Price,2.83
Change,0.00%
Volume,0}
{No.,2403
Ticker,DDLS
Company,WisdomTree Dynamic International SmallCap Equity Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.30
Change,0.00%
Volume,0}
{No.,2404
Ticker,DDM
Company,ProShares Ultra Dow30 2x Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,60.41
Change,0.65%
Volume,294}
{No.,2405
Ticker,DDNQ
Company,Innovator Growth-100 Dual Directional 5 Buffer ETF - Quarterly
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.57
Change,0.00%
Volume,0}
{No.,2406
Ticker,DDOG
Company,Datadog Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,42950.50
P/E,410.20
Price,121.50
Change,-0.86%
Volume,11905}
{No.,2407
Ticker,DDS
Company,Dillard's Inc
Sector,Consumer Cyclical
Industry,Department Stores
Country,USA
Market Cap,10315.17
P/E,17.93
Price,660.68
Change,0.00%
Volume,0}
{No.,2408
Ticker,DDSQ
Company,Innovator Equity Dual Directional 5 Buffer ETF - Quarterly
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.28
Change,0.00%
Volume,0}
{No.,2409
Ticker,DDTD
Company,Innovator Equity Dual Directional 10 Buffer ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.18
Change,0.00%
Volume,0}
{No.,2410
Ticker,DDTF
Company,Innovator Equity Dual Directional 10 Buffer ETF - February
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.18
Change,0.00%
Volume,0}
{No.,2411
Ticker,DDTJ
Company,Innovator Equity Dual Directional 10 Buffer ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.06
Change,0.00%
Volume,0}
{No.,2412
Ticker,DDTL
Company,Innovator Equity Dual Directional 10 Buffer ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.02
Change,0.00%
Volume,0}
{No.,2413
Ticker,DDTN
Company,Innovator Equity Dual Directional 10 Buffer ETF - November
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.24
Change,0.00%
Volume,0}
{No.,2414
Ticker,DDTO
Company,Innovator Equity Dual Directional 10 Buffer ETF - October
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.71
Change,0.00%
Volume,0}
{No.,2415
Ticker,DDTS
Company,Innovator Equity Dual Directional 10 Buffer ETF - September
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.42
Change,0.00%
Volume,0}
{No.,2416
Ticker,DDV
Company,Defined Duration 5 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.43
Change,0.00%
Volume,0}
{No.,2417
Ticker,DDWM
Company,WisdomTree Dynamic International Equity Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.80
Change,0.00%
Volume,0}
{No.,2418
Ticker,DDX
Company,Defined Duration 10 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.97
Change,0.00%
Volume,0}
{No.,2419
Ticker,DDXX
Company,Defined Duration 20 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.80
Change,0.00%
Volume,0}
{No.,2420
Ticker,DE
Company,Deere & Co
Sector,Industrials
Industry,Farm & Heavy Construction Machinery
Country,USA
Market Cap,162872.39
P/E,32.47
Price,600.84
Change,0.00%
Volume,0}
{No.,2421
Ticker,DEA
Company,Easterly Government Properties Inc
Sector,Real Estate
Industry,REIT - Office
Country,USA
Market Cap,1107.98
P/E,79.20
Price,24.03
Change,0.00%
Volume,0}
{No.,2422
Ticker,DEC
Company,Diversified Energy Co
Sector,Energy
Industry,Oil & Gas Integrated
Country,USA
Market Cap,1046.65
P/E,
Price,13.09
Change,0.00%
Volume,0}
{No.,2423
Ticker,DECK
Company,Deckers Outdoor Corp
Sector,Consumer Cyclical
Industry,Footwear & Accessories
Country,USA
Market Cap,16657.83
P/E,16.58
Price,117.35
Change,0.00%
Volume,0}
{No.,2424
Ticker,DECM
Company,FT Vest U.S. Equity Max Buffer ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,32.94
Change,0.00%
Volume,0}
{No.,2425
Ticker,DECO
Company,SPDR Galaxy Digital Asset Ecosystem ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.72
Change,0.00%
Volume,0}
{No.,2426
Ticker,DECP
Company,PGIM S&P 500 Buffer 12 ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.53
Change,0.00%
Volume,0}
{No.,2427
Ticker,DECT
Company,AllianzIM U.S. Equity Buffer10 Dec ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.67
Change,0.00%
Volume,0}
{No.,2428
Ticker,DECU
Company,AllianzIM U.S. Equity Buffer15 Uncapped Dec ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.38
Change,0.00%
Volume,0}
{No.,2429
Ticker,DECW
Company,AllianzIM U.S. Equity Buffer20 Dec ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.02
Change,0.00%
Volume,0}
{No.,2430
Ticker,DECZ
Company,TrueShares Structured Outcome (December) ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.21
Change,0.00%
Volume,0}
{No.,2431
Ticker,DEED
Company,First Trust TCW Securitized Plus ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.85
Change,0.00%
Volume,0}
{No.,2432
Ticker,DEEF
Company,Xtrackers FTSE Developed ex US Multifactor ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.36
Change,0.00%
Volume,0}
{No.,2433
Ticker,DEEP
Company,Acquirers Small and Micro Deep Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.07
Change,0.00%
Volume,0}
{No.,2434
Ticker,DEFI
Company,Hashdex Bitcoin ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,76.85
Change,0.00%
Volume,0}
{No.,2435
Ticker,DEFR
Company,Aptus Deferred Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.09
Change,0.00%
Volume,0}
{No.,2436
Ticker,DEFT
Company,DeFi Technologies Inc
Sector,Financial
Industry,Capital Markets
Country,Canada
Market Cap,277.68
P/E,
Price,0.72
Change,0.00%
Volume,0}
{No.,2437
Ticker,DEHP
Company,Dimensional Emerging Markets High Profitability ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.90
Change,0.00%
Volume,0}
{No.,2438
Ticker,DEI
Company,Douglas Emmett Inc
Sector,Real Estate
Industry,REIT - Office
Country,USA
Market Cap,1669.60
P/E,110.17
Price,9.97
Change,0.00%
Volume,0}
{No.,2439
Ticker,DELL
Company,Dell Technologies Inc
Sector,Technology
Industry,Computer Hardware
Country,USA
Market Cap,77607.58
P/E,15.62
Price,117.11
Change,0.88%
Volume,3030}
{No.,2440
Ticker,DEM
Company,WisdomTree Emerging Markets High Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.12
Change,0.00%
Volume,0}
{No.,2441
Ticker,DEMZ
Company,Democratic Large Cap Core ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.29
Change,0.00%
Volume,0}
{No.,2442
Ticker,DEO
Company,Diageo plc ADR
Sector,Consumer Defensive
Industry,Beverages - Wineries & Distilleries
Country,United Kingdom
Market Cap,53190.24
P/E,22.60
Price,95.69
Change,-0.79%
Volume,638}
{No.,2443
Ticker,DERM
Company,Journey Medical Corp
Sector,Healthcare
Industry,Drug Manufacturers - Specialty & Generic
Country,USA
Market Cap,269.38
P/E,
Price,8.10
Change,0.00%
Volume,0}
{No.,2444
Ticker,DES
Company,WisdomTree U.S. SmallCap Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.45
Change,0.00%
Volume,0}
{No.,2445
Ticker,DESK
Company,VanEck Office and Commercial REIT ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.72
Change,0.00%
Volume,0}
{No.,2446
Ticker,DEUS
Company,Xtrackers Russell US Multifactor ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,62.50
Change,0.00%
Volume,0}
{No.,2447
Ticker,DEVS
Company,DevvStream Corp
Sector,Industrials
Industry,Pollution & Treatment Controls
Country,USA
Market Cap,3.67
P/E,
Price,0.84
Change,0.00%
Volume,0}
{No.,2448
Ticker,DEW
Company,WisdomTree Global High Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,68.17
Change,0.00%
Volume,0}
{No.,2449
Ticker,DEXC
Company,Dimensional Emerging Markets ex China Core Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,68.65
Change,0.00%
Volume,0}
{No.,2450
Ticker,DFAC
Company,Dimensional U.S. Core Equity 2 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.20
Change,0.96%
Volume,1315}
{No.,2451
Ticker,DFAE
Company,Dimensional Emerging Core Equity Market ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.18
Change,0.03%
Volume,271}
{No.,2452
Ticker,DFAI
Company,Dimensional International Core Equity Market ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.57
Change,0.00%
Volume,0}
{No.,2453
Ticker,DFAR
Company,Dimensional US Real Estate ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.22
Change,0.00%
Volume,0}
{No.,2454
Ticker,DFAS
Company,Dimensional U.S. Small Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,75.53
Change,0.00%
Volume,0}
{No.,2455
Ticker,DFAT
Company,Dimensional U.S. Targeted Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,66.08
Change,0.00%
Volume,0}
{No.,2456
Ticker,DFAU
Company,Dimensional US Core Equity Market ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.35
Change,0.00%
Volume,0}
{No.,2457
Ticker,DFAW
Company,Dimensional World Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,77.71
Change,0.00%
Volume,0}
{No.,2458
Ticker,DFAX
Company,Dimensional World ex U.S. Core Equity 2 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.16
Change,0.00%
Volume,0}
{No.,2459
Ticker,DFCA
Company,Dimensional California Municipal Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.71
Change,0.00%
Volume,0}
{No.,2460
Ticker,DFCF
Company,Dimensional Core Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.14
Change,0.00%
Volume,0}
{No.,2461
Ticker,DFDV
Company,DeFi Development Corp
Sector,Financial
Industry,Asset Management
Country,USA
Market Cap,114.19
P/E,1.53
Price,3.82
Change,0.53%
Volume,400}
{No.,2462
Ticker,DFE
Company,WisdomTree Europe SmallCap Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,76.38
Change,0.00%
Volume,0}
{No.,2463
Ticker,DFEB
Company,FT Vest U.S. Equity Deep Buffer ETF - February
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.41
Change,0.00%
Volume,0}
{No.,2464
Ticker,DFEM
Company,Dimensional Emerging Markets Core Equity 2 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.74
Change,0.00%
Volume,0}
{No.,2465
Ticker,DFEN
Company,Direxion Daily Aerospace & Defense Bull 3X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,84.46
Change,0.00%
Volume,0}
{No.,2466
Ticker,DFEV
Company,Dimensional Emerging Markets Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.74
Change,0.00%
Volume,0}
{No.,2467
Ticker,DFGP
Company,Dimensional Global Core Plus Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,54.97
Change,0.00%
Volume,0}
{No.,2468
Ticker,DFGR
Company,Dimensional Global Real Estate ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.81
Change,0.00%
Volume,0}
{No.,2469
Ticker,DFGX
Company,Dimensional Global ex US Core Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,53.41
Change,0.00%
Volume,0}
{No.,2470
Ticker,DFH
Company,Dream Finders Homes Inc
Sector,Consumer Cyclical
Industry,Residential Construction
Country,USA
Market Cap,1946.92
P/E,7.63
Price,20.99
Change,0.00%
Volume,0}
{No.,2471
Ticker,DFIC
Company,Dimensional International Core Equity 2 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.80
Change,0.00%
